id,name,rating_n,opening_hours,distance,price_level,rating,frequency,time_spent,Went?
127,Shake Shack,3082,0,294.27360338354043,2,4.3,0,30,33
128,Shake Shack,3082,0,294.27360338354043,2,4.3,0,30,33
129,Panera Bread,776,0,256.071826001963,2,4.0,0,15,37
130,Panera Bread,776,0,256.071826001963,2,4.0,0,45,37
131,Perelandra Natural Food Center,489,0,471.78070780861617,2,4.5,0,20,89
132,Perelandra Natural Food Center,489,0,471.78070780861617,2,4.5,0,20,89
133,Luciano's,368,0,81.0013247112889,2,4.1,0,15,32
134,Luciano's,368,0,81.0013247112889,2,4.1,0,15,32
135,Au Bon Pain,136,0,59.350003835049804,2,3.8,0,15,66
136,Au Bon Pain,136,0,59.350003835049804,2,3.8,0,15,66
137,Papa John's Pizza,128,0,225.07136113726528,1,3.7,0,15,66
138,Papa John's Pizza,128,0,225.07136113726528,1,3.7,0,15,66
139,New Golden Fried Dumpling,275,0,194.51022314562607,1,4.1,0,20,100
140,New Golden Fried Dumpling,275,0,194.51022314562607,1,4.1,0,20,100
141,Burger King,1122,0,284.9861290588254,1,3.6,0,10,66
142,Burger King,1122,0,284.9861290588254,1,3.6,0,45,66
143,Amarachi,782,0,477.9351868201139,2,4.1,0,15,16
144,Amarachi,782,0,477.9351868201139,2,4.1,0,15,16
145,Cafe Metro,142,0,75.96447272494879,2,3.6,0,15,66
146,Cafe Metro,142,0,75.96447272494879,2,3.6,0,15,66
147,Tio Pio,189,0,201.0432998538932,1,3.8,0,15,70
148,Tio Pio,189,0,201.0432998538932,1,3.8,0,15,70
149,McDonald's,1017,0,339.6213207693014,1,3.4,0,25,66
150,McDonald's,1017,0,339.6213207693014,1,3.4,0,25,66
151,Brooklyn Brewhouse,387,0,315.0948960677183,2,3.9,0,15,22
152,Brooklyn Brewhouse,387,0,315.0948960677183,2,3.9,0,15,22
153,Five Guys,779,0,27.29211227215678,2,4.2,0,30,66
154,Five Guys,779,0,27.29211227215678,2,4.2,0,30,66
155,Eight Turn Crepe,93,0,376.36388245849275,2,4.6,0,15,66
156,Eight Turn Crepe,93,0,376.36388245849275,2,4.6,0,15,66
157,Chipotle Mexican Grill,459,0,48.21440082635119,1,3.9,0,10,74
158,Chipotle Mexican Grill,459,0,48.21440082635119,1,3.9,0,45,74
159,Hale and Hearty,99,0,51.60940510271232,2,4.1,0,15,57
160,Hale and Hearty,99,0,51.60940510271232,2,4.1,0,45,57
161,Dunkin',497,0,229.7883053084827,1,3.5,0,10,64
162,Dunkin',497,0,229.7883053084827,1,3.5,0,10,64
163,Buffalo Boss,513,0,230.141170803517,2,3.8,0,20,66
164,Buffalo Boss,513,0,230.141170803517,2,3.8,0,20,66
165,Yaso Tangbao,614,0,234.0619968319014,1,4.0,0,15,59
166,Yaso Tangbao,614,0,234.0619968319014,1,4.0,0,15,59
167,Rocco's Tacos And Tequila Bar,2586,0,236.08841240594822,2,4.1,0,60,23
168,Rocco's Tacos And Tequila Bar,2586,0,236.08841240594822,2,4.1,0,120,23
169,Doner Kebab NYC,404,0,237.68515421777906,2,4.2,0,20,66
170,Doner Kebab NYC,404,0,237.68515421777906,2,4.2,0,20,66
171,Forno Rosso,586,0,240.33811415162123,2,4.3,0,60,32
172,Forno Rosso,586,0,240.33811415162123,2,4.3,0,90,32
173,Hibachi King Express,79,0,243.84797858284244,2,3.6,0,15,66
174,Hibachi King Express,79,0,243.84797858284244,2,3.6,0,15,66
175,The Juice Shop,88,0,257.20996428422774,2,4.0,0,15,66
176,The Juice Shop,88,0,257.20996428422774,2,4.0,0,15,66
177,Kimoto Rooftop Restaurant & Garden Lounge,978,0,276.6994475100013,2,3.9,0,90,0
178,Kimoto Rooftop Restaurant & Garden Lounge,978,0,276.6994475100013,2,3.9,0,210,0
179,Panda Express,348,0,280.2310502528483,1,3.9,0,10,66
180,Panda Express,348,0,280.2310502528483,1,3.9,0,45,66
181,Avere,68,0,292.5563619552334,2,4.3,0,15,100
182,Avere,68,0,292.5563619552334,2,4.3,0,15,100
183,Smith Food Express,22,0,369.43033810843167,2,3.9,0,15,66
184,Smith Food Express,22,0,369.43033810843167,2,3.9,0,15,66
185,Brooklyn Bridge Bistro,395,0,358.48932250291455,2,4.1,0,30,76
186,Brooklyn Bridge Bistro,395,0,358.48932250291455,2,4.1,0,60,76
187,Alamo Drafthouse Cinema Downtown Brooklyn,4499,0,376.36388245849275,2,4.6,0,15,66
188,Alamo Drafthouse Cinema Downtown Brooklyn,4499,0,376.36388245849275,2,4.6,0,15,66
189,Foragers Counter,5,0,376.36388245849275,2,3.8,0,15,66
190,Foragers Counter,5,0,376.36388245849275,2,3.8,0,15,66
191,A Taste of Katz's,120,0,380.26827204693546,2,3.7,0,15,66
192,A Taste of Katz's,120,0,380.26827204693546,2,3.7,0,15,66
193,Wiki Wiki,22,0,388.2476597515637,2,3.9,0,15,66
194,Wiki Wiki,22,0,388.2476597515637,2,3.9,0,15,66
195,New Apollo Diner,1085,0,395.2782693322628,2,4.1,0,10,20
196,New Apollo Diner,1085,0,395.2782693322628,2,4.1,0,60,20
197,Kotti Berliner Döner Kebab,87,0,400.1811812969824,2,4.1,0,15,66
